,CurrentClinicName1,CurrentClinicCity,CurrentClinicState,Year,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,Donor_TransLB2,Donor_TransLB3,ReasonTubal,ReasonOvul,ReasonDOR,ReasonEndo,ReasonUterine,ReasonMale,ReasonOtherInfert,TransPGT1,TransPGT2,TransPGT3,TransPGT4
369,THE CENTER FOR REPRODUCTIVE HEALTH,NASHVILLE,TENNESSEE,2017,22,12,2,2,45.5%,3 / 12,0 / 2,0 / 2,0.0%,0.0%,0.0%,0 / 3,0 / 1,5 / 15,12%,21%,33%,2%,0%,32%,17%,17.1%,9.1%,3 / 18,0 / 2
370,NASHVILLE FERTILITY CENTER,NASHVILLE,TENNESSEE,2017,212,86,70,19,57.5%,40.7%,38.6%,3 / 19,6.3%,9.3%,18.1%,17.9%,1 / 5,51.9%,18%,16%,39%,18%,6%,30%,10%,44.0%,58.0%,55.8%,52.8%
371,ASPIRE FERTILITY-DALLAS,ADDISON,TEXAS,2017,7,0,2,1,4 / 7,,1 / 2,1 / 1,0.0%,0.0%,4.2%,0 / 11,1 / 1,0 / 3,3%,10%,3%,2%,4%,20%,15%,44.0%,11 / 16,2 / 8,1 / 3
372,DFW CENTER FOR FERTILITY & IVF,ALLEN,TEXAS,2017,20,6,7,3,55.0%,1 / 6,3 / 7,0 / 3,3.4%,1 / 14,0 / 11,1 / 7,1 / 1,,6%,21%,24%,0%,9%,29%,0%,4 / 16,5 / 9,3 / 5,1 / 3
373,ASPIRE FERTILITY-AUSTIN,AUSTIN,TEXAS,2017,57,34,25,16,36.8%,41.2%,20.0%,4 / 16,2.0%,1.1%,4.2%,5.9%,4 / 8,8 / 16,6%,8%,29%,2%,2%,21%,15%,82.2%,82.1%,79.3%,15 / 19
374,AUSTIN FERTILITY AND REPRODUCTIVE MEDICINE-WESTLAKE IVF,AUSTIN,TEXAS,2017,69,28,20,8,42.0%,17.9%,25.0%,0 / 8,3.2%,4.3%,4.9%,3 / 19,1 / 2,0 / 6,7%,16%,23%,5%,7%,52%,11%,5.6%,15.6%,11.1%,0 / 9
375,"AUSTIN FERTILITY INSTITUTE, PA",AUSTIN,TEXAS,2017,74,31,25,4,55.4%,58.1%,24.0%,0 / 4,5.6%,6.1%,12.6%,16.7%,,5 / 17,14%,13%,10%,12%,3%,44%,8%,27.9%,23.1%,45.2%,4 / 10
376,TEXAS FERTILITY CENTER,AUSTIN,TEXAS,2017,261,180,133,78,53.3%,37.8%,25.6%,16.7%,10.1%,11.8%,13.4%,15.2%,6 / 16,40.9%,7%,12%,36%,8%,10%,25%,10%,51.0%,59.4%,58.1%,43.9%
377,CENTER FOR ASSISTED REPRODUCTION,BEDFORD,TEXAS,2017,139,69,40,19,61.2%,47.8%,27.5%,5 / 19,2.9%,4.9%,2.5%,3.8%,,5 / 18,12%,21%,27%,6%,3%,38%,10%,3.9%,12.5%,11.1%,22.6%
378,DALLAS-FORT WORTH FERTILITY ASSOCIATES,DALLAS,TEXAS,2017,259,151,129,64,57.9%,46.4%,21.7%,15.6%,3.6%,5.2%,7.3%,5.6%,1 / 2,50.0%,10%,<1%,38%,6%,9%,47%,13%,23.0%,32.7%,45.4%,36.8%
379,FERTILITY AND ADVANCED REPRODUCTIVE MEDICINE,DALLAS,TEXAS,2017,24,31,46,27,54.2%,19.4%,8.7%,7.4%,2.6%,15.7%,6.6%,11.8%,1 / 1,,17%,7%,50%,6%,12%,25%,10%,16.7%,1 / 11,20.8%,1 / 6
380,FERTILITY CENTER OF DALLAS,DALLAS,TEXAS,2017,54,26,17,11,46.3%,26.9%,4 / 17,3 / 11,6.4%,3.5%,4.4%,0 / 14,,3 / 8,12%,12%,18%,16%,20%,41%,35%,21.1%,33.3%,23.8%,5 / 11
381,REPROMED FERTILITY CENTER,DALLAS,TEXAS,2017,71,38,21,16,49.3%,34.2%,9.5%,2 / 16,3.4%,9.5%,5.0%,21.7%,,57.1%,14%,82%,21%,7%,1%,15%,38%,26.8%,36.4%,40.9%,4 / 11
382,SHER INSTITUTE FOR REPRODUCTIVE MEDICINE-DALLAS,DALLAS,TEXAS,2017,56,37,23,15,55.4%,29.7%,21.7%,1 / 15,5.9%,4.1%,7.7%,13.6%,4 / 5,3 / 7,16%,10%,49%,<1%,3%,14%,15%,9.0%,8.1%,12.0%,2 / 14
383,TEXAS CENTER FOR REPRODUCTIVE HEALTH,DALLAS,TEXAS,2017,19,16,8,2,8 / 19,5 / 16,4 / 8,0 / 2,4.3%,1 / 14,0 / 9,0 / 5,,0 / 4,14%,14%,39%,9%,14%,55%,55%,8 / 17,4 / 9,1 / 6,0 / 2
384,"SOUTHWEST CENTER FOR REPRODUCTIVE HEALTH, PA",EL PASO,TEXAS,2017,40,16,17,7,57.5%,6 / 16,3 / 17,0 / 7,0.0%,0.0%,0.0%,0 / 5,,,18%,24%,4%,37%,10%,29%,49%,0.0%,0.0%,0 / 19,0 / 5
385,BROOKE ARMY MEDICAL CENTER,FORT SAM HOUSTON,TEXAS,2017,70,32,28,0,38.6%,34.4%,28.6%,,1.4%,9.1%,13.8%,0 / 2,,,33%,13%,30%,22%,19%,53%,3%,0.0%,0.0%,0.0%,0 / 2
386,"FORT WORTH FERTILITY, PA",FORT WORTH,TEXAS,2017,168,46,39,22,53.6%,21.7%,23.1%,4.5%,2.1%,4.1%,3.0%,13.8%,3 / 4,44.4%,9%,5%,16%,4%,3%,25%,13%,30.3%,43.7%,57.6%,5 / 15
387,CCRM DALLAS-FORT WORTH,FRISCO,TEXAS,2017,84,37,25,9,57.1%,43.2%,28.0%,2 / 9,1.4%,7.7%,14.0%,2 / 11,0 / 1,3 / 4,12%,26%,15%,6%,0%,34%,9%,32.1%,26.9%,39.1%,1 / 7
388,DALLAS IVF,FRISCO,TEXAS,2017,241,91,79,52,48.5%,45.1%,26.6%,13.5%,4.9%,6.4%,8.5%,22.4%,1 / 3,43.9%,13%,19%,17%,5%,6%,38%,16%,28.6%,42.7%,48.3%,42.3%
389,"FERTILITY SPECIALISTS OF TEXAS, PLLC",FRISCO,TEXAS,2017,282,109,93,35,61.3%,43.1%,26.9%,25.7%,2.8%,4.8%,9.7%,4.9%,0 / 1,66.2%,17%,20%,23%,4%,8%,41%,13%,43.2%,51.8%,45.9%,45.5%
390,ADVANCED FERTILITY CENTER OF TEXAS,HOUSTON,TEXAS,2017,59,44,31,17,54.2%,38.6%,22.6%,3 / 17,3.2%,5.7%,7.1%,4.7%,,26.1%,18%,21%,33%,16%,4%,32%,14%,18.6%,10.6%,37.0%,14.3%
391,ASPIRE FERTILITY-HOUSTON,HOUSTON,TEXAS,2017,24,15,12,9,29.2%,5 / 15,0 / 12,1 / 9,21.0%,3.6%,15.8%,9.5%,1 / 3,2 / 5,9%,8%,9%,11%,8%,15%,17%,75.0%,81.8%,7 / 11,2 / 8
392,COOPER INSTITUTE FOR ADVANCED REPRODUCTIVE MEDICINE,HOUSTON,TEXAS,2017,26,7,12,9,30.8%,1 / 7,1 / 12,0 / 9,6.3%,3 / 17,18.2%,2 / 12,0 / 1,6 / 12,31%,21%,37%,9%,24%,26%,1%,20.0%,0 / 9,0 / 8,1 / 3
393,FAMILY FERTILITY CENTER,HOUSTON,TEXAS,2017,87,33,29,11,28.7%,33.3%,27.6%,1 / 11,6.8%,12.8%,24.7%,33.3%,,50.0%,7%,28%,21%,4%,5%,27%,22%,53.3%,61.5%,50.0%,3 / 7
394,THE HEARD INSTITUTE,HOUSTON,TEXAS,2017,7,10,4,1,3 / 7,2 / 10,0 / 4,0 / 1,1 / 8,0 / 5,0 / 6,,,0 / 1,0%,58%,21%,21%,32%,47%,79%,2 / 3,0 / 1,2 / 3,
395,HOUSTON FERTILITY INSTITUTE,HOUSTON,TEXAS,2017,761,323,253,117,63.5%,47.7%,30.8%,20.5%,2.0%,3.0%,2.0%,2.6%,49.4%,47.5%,27%,43%,38%,9%,56%,63%,60%,42.1%,51.9%,54.3%,54.5%
396,HOUSTON FERTILITY SPECIALISTS,HOUSTON,TEXAS,2017,272,140,111,56,47.4%,36.4%,22.5%,12.5%,7.8%,8.6%,12.8%,20.3%,2 / 8,56.8%,15%,22%,41%,13%,7%,30%,44%,83.5%,88.1%,79.3%,75.7%
397,HOUSTON IVF DBA,HOUSTON,TEXAS,2017,213,153,136,48,57.7%,47.7%,28.7%,4.2%,1.1%,1.2%,1.8%,1.3%,,34.3%,7%,11%,40%,4%,4%,16%,61%,25.2%,37.4%,40.0%,41.3%
398,IVFMD,IRVING,TEXAS,2017,148,51,39,11,51.4%,43.1%,33.3%,3 / 11,5.2%,6.2%,5.8%,20.0%,1 / 1,34.6%,19%,16%,30%,7%,4%,33%,24%,15.6%,41.4%,20.0%,1 / 12
399,THE CENTRE FOR REPRODUCTIVE MEDICINE,LUBBOCK,TEXAS,2017,38,14,15,4,60.5%,6 / 14,2 / 15,0 / 4,1.7%,0 / 18,1 / 16,1 / 5,,1 / 3,41%,20%,30%,21%,7%,42%,36%,4.0%,0 / 14,0 / 11,0 / 2
400,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,LUBBOCK,TEXAS,2017,45,22,19,0,48.9%,18.2%,5 / 19,,7.0%,11.9%,3.6%,0 / 6,1 / 1,2 / 6,13%,23%,13%,21%,7%,31%,6%,20.6%,50.0%,5 / 17,1 / 4
401,REPRODUCTIVE INSTITUTE OF SOUTH TEXAS,MCALLEN,TEXAS,2017,41,27,21,14,43.9%,22.2%,14.3%,1 / 14,10.2%,7.7%,7.4%,4 / 18,,2 / 7,34%,18%,24%,3%,18%,50%,25%,2.0%,6.5%,0 / 16,0 / 7
402,"ADVANCED FERTILITY CENTERS, PLLC",ODESSA,TEXAS,2017,5,2,0,1,5 / 5,1 / 2,,0 / 1,0 / 19,2 / 12,1 / 8,0 / 2,,1 / 1,23%,37%,14%,7%,5%,19%,19%,0 / 16,1 / 7,1 / 4,0 / 1
403,IVF PLANO,PLANO,TEXAS,2017,68,26,30,14,72.1%,53.8%,23.3%,2 / 14,6.7%,3.7%,10.3%,6.7%,1 / 1,52.4%,13%,69%,27%,5%,2%,40%,20%,39.1%,50.0%,34.2%,7 / 14
404,PRESBYTERIAN HOSPITAL ARTS,PLANO,TEXAS,2017,44,20,41,10,45.5%,20.0%,14.6%,2 / 10,1.3%,15.9%,10.9%,0 / 15,,56.5%,12%,44%,25%,14%,20%,37%,42%,78.0%,85.7%,15 / 17,8 / 8
405,ASPIRE FERTILITY-SAN ANTONIO,SAN ANTONIO,TEXAS,2017,164,99,68,24,65.9%,39.4%,32.4%,12.5%,8.3%,13.8%,17.1%,8.5%,7 / 14,45.0%,8%,17%,28%,5%,2%,23%,12%,31.0%,52.1%,53.7%,58.3%
406,FERTILITY CENTER OF SAN ANTONIO,SAN ANTONIO,TEXAS,2017,133,74,81,24,60.9%,43.2%,19.8%,16.7%,3.4%,2.3%,10.1%,8.7%,1 / 3,45.0%,20%,16%,32%,9%,8%,30%,17%,12.4%,22.0%,25.8%,20.0%
407,INSTITUTE FOR WOMEN'S HEALTH,SAN ANTONIO,TEXAS,2017,18,14,10,4,11 / 18,3 / 14,3 / 10,0 / 4,9.8%,3 / 19,3 / 15,5 / 12,1 / 6,0 / 1,18%,41%,46%,11%,2%,17%,27%,10 / 18,4 / 10,3 / 8,0 / 4
408,UT HEALTH SAN ANTONIO REPRODUCTIVE HEALTH AND FERTILITY CENTER,SAN ANTONIO,TEXAS,2017,26,20,22,5,34.6%,35.0%,18.2%,0 / 5,4.5%,9.5%,10.7%,0 / 15,,3 / 4,16%,20%,30%,9%,27%,37%,12%,9.7%,4 / 15,3 / 17,1 / 11
409,SCOTT & WHITE CLINIC-TEMPLE,TEMPLE,TEXAS,2017,60,19,10,7,30.0%,7 / 19,2 / 10,1 / 7,27.5%,24.5%,35.0%,3 / 10,,,18%,8%,0%,5%,1%,27%,22%,0.0%,0.0%,0.0%,0 / 5
410,"NORTH HOUSTON CENTER FOR REPRODUCTIVE MEDICINE, PA",THE WOODLANDS,TEXAS,2017,27,16,10,3,48.1%,7 / 16,3 / 10,1 / 3,0.0%,0 / 17,0 / 15,0 / 8,,1 / 2,18%,48%,9%,11%,2%,33%,6%,2.4%,0 / 15,0 / 15,0 / 5
411,CENTER OF REPRODUCTIVE MEDICINE (CORM),WEBSTER,TEXAS,2017,207,74,55,11,57.0%,39.2%,29.1%,1 / 11,5.4%,11.4%,11.6%,21.7%,0 / 1,46.5%,4%,35%,18%,12%,11%,8%,11%,35.3%,57.5%,59.2%,38.1%
412,UTAH FERTILITY CENTER,PLEASANT GROVE,UTAH,2017,389,101,67,23,66.6%,49.5%,34.3%,13.0%,2.9%,5.9%,7.3%,10.6%,1 / 1,64.6%,9%,22%,18%,11%,3%,25%,16%,25.9%,28.4%,42.2%,40.5%
413,UTAH CENTER FOR REPRODUCTIVE MEDICINE,SALT LAKE CITY,UTAH,2017,210,78,62,27,55.2%,43.6%,25.8%,3.7%,5.5%,5.1%,6.9%,10.0%,,37.5%,10%,10%,23%,7%,2%,33%,14%,16.8%,17.3%,28.3%,22.2%
414,REPRODUCTIVE CARE CENTER,SANDY,UTAH,2017,319,81,40,17,56.1%,38.3%,30.0%,2 / 17,3.4%,3.3%,4.4%,4.4%,60.6%,5 / 17,12%,36%,15%,13%,5%,28%,9%,8.2%,14.3%,14.9%,25.0%
415,UNIVERSITY OF VERMONT MEDICAL CENTER,BURLINGTON,VERMONT,2017,24,3,7,3,54.2%,3 / 3,1 / 7,0 / 3,5.3%,7.1%,1 / 11,2 / 7,2 / 2,0 / 1,5%,7%,33%,1%,0%,22%,7%,13.0%,0.0%,0 / 9,0 / 4
416,NORTHEASTERN REPRODUCTIVE MEDICINE,COLCHESTER,VERMONT,2017,76,51,42,10,51.3%,47.1%,47.6%,5 / 10,7.9%,11.8%,21.0%,30.8%,,41.7%,8%,19%,30%,4%,5%,20%,14%,9.4%,5.6%,13.0%,2 / 13
417,WASHINGTON FERTILITY CENTER,ANNANDALE,VIRGINIA,2017,23,10,13,8,26.1%,5 / 10,5 / 13,1 / 8,6.1%,12.1%,1 / 9,0 / 13,1 / 2,2 / 8,5%,6%,33%,2%,4%,30%,10%,1 / 19,6 / 13,2 / 5,0 / 5
418,DOMINION FERTILITY AND ENDOCRINOLOGY,ARLINGTON,VIRGINIA,2017,211,188,206,114,36.5%,20.7%,12.1%,4.4%,11.3%,16.0%,17.2%,28.6%,,33.8%,16%,14%,58%,6%,6%,30%,25%,59.7%,68.9%,49.5%,41.7%
419,"REPRODUCTIVE MEDICINE AND SURGERY CENTER OF VIRGINIA, PLC",CHARLOTTESVILLE,VIRGINIA,2017,81,44,29,15,63.0%,50.0%,17.2%,0 / 15,2.0%,3.4%,11.1%,19.2%,2 / 4,5 / 11,9%,20%,22%,21%,7%,44%,16%,45.5%,52.4%,54.2%,3 / 12
420,GENETICS & IVF INSTITUTE,FAIRFAX,VIRGINIA,2017,36,22,34,23,44.4%,36.4%,23.5%,8.7%,2.8%,0.0%,0.0%,5.9%,40.0%,32.6%,15%,6%,43%,5%,17%,27%,36%,52.5%,61.8%,56.0%,42.4%
421,JONES INSTITUTE FOR REPRODUCTIVE MEDICINE,NORFOLK,VIRGINIA,2017,119,34,33,16,44.5%,38.2%,24.2%,2 / 16,4.7%,15.1%,11.6%,10.0%,5 / 7,5 / 9,15%,32%,27%,6%,2%,31%,10%,12.0%,12.8%,15.9%,5 / 18
422,VIRGINIA CENTER FOR REPRODUCTIVE MEDICINE,RESTON,VIRGINIA,2017,34,31,25,5,47.1%,51.6%,32.0%,1 / 5,0.0%,2.3%,2.6%,0.0%,0 / 1,45.5%,21%,30%,46%,6%,20%,28%,21%,64.1%,58.3%,10 / 14,5 / 9
423,SHADY GROVE FERTILITY-RICHMOND,RICHMOND,VIRGINIA,2017,56,31,36,7,75.0%,61.3%,27.8%,2 / 7,2.1%,2.5%,7.5%,5.3%,39.3%,51.4%,11%,10%,17%,10%,6%,35%,19%,39.0%,49.6%,60.2%,37.9%
424,VCU REPRODUCTIVE MEDICINE,RICHMOND,VIRGINIA,2017,36,15,10,3,41.7%,9 / 15,4 / 10,0 / 3,6.4%,18.8%,27.1%,5 / 18,2 / 4,3 / 7,13%,16%,13%,5%,<1%,23%,35%,6.8%,6.7%,10.3%,0 / 13
425,CCRM NORTHERN VIRGINIA,VIENNA,VIRGINIA,2017,0,0,0,0,,,,,,1 / 2,0 / 4,0 / 2,,1 / 1,0%,0%,0%,0%,8%,33%,42%,,,,
426,THE NEW HOPE CENTER FOR REPRODUCTIVE MEDICINE,VIRGINIA BEACH,VIRGINIA,2017,71,35,35,6,47.9%,20.0%,11.4%,0 / 6,2.7%,3.3%,0.0%,3.6%,0 / 2,5 / 17,20%,31%,44%,11%,6%,36%,12%,26.4%,36.4%,1 / 19,4 / 15
427,"OVERLAKE REPRODUCTIVE HEALTH, INC., PS",BELLEVUE,WASHINGTON,2017,85,33,35,15,47.1%,21.2%,22.9%,2 / 15,2.3%,7.2%,2.8%,7.1%,,79.2%,44%,47%,77%,13%,4%,50%,91%,96.7%,100.0%,87.5%,9 / 9
428,WASHINGTON CENTER FOR REPRODUCTIVE MEDICINE,BELLEVUE,WASHINGTON,2017,55,31,20,6,21.8%,16.1%,20.0%,1 / 6,7.0%,2.0%,9.4%,1 / 17,,1 / 9,3%,1%,15%,0%,1%,15%,4%,47.3%,57.7%,7 / 12,7 / 8
429,BELLINGHAM IVF & INFERTILITY CARE,BELLINGHAM,WASHINGTON,2017,35,4,5,2,77.1%,3 / 4,2 / 5,0 / 2,2.2%,1 / 16,0 / 13,0 / 6,,,20%,24%,30%,8%,1%,72%,5%,0.0%,0 / 10,0 / 8,0 / 5
430,POMA FERTILITY,KIRKLAND,WASHINGTON,2017,108,70,66,17,53.7%,35.7%,27.3%,4 / 17,3.6%,6.5%,3.3%,8.2%,1 / 6,70.8%,9%,8%,21%,6%,3%,23%,20%,38.4%,36.4%,36.1%,34.5%
431,OLYMPIA WOMEN'S HEALTH,OLYMPIA,WASHINGTON,2017,19,5,4,2,3 / 19,2 / 5,0 / 4,0 / 2,0.0%,0 / 8,0 / 9,,,0 / 3,37%,26%,4%,11%,7%,17%,4%,0.0%,0 / 7,0 / 6,
432,PACIFIC NORTHWEST FERTILITY AND IVF SPECIALISTS,SEATTLE,WASHINGTON,2017,134,108,107,74,53.0%,45.4%,27.1%,20.3%,3.5%,6.8%,7.1%,10.2%,,52.0%,5%,11%,29%,6%,1%,19%,8%,59.3%,66.9%,65.5%,61.5%
433,SEATTLE REPRODUCTIVE MEDICINE,SEATTLE,WASHINGTON,2017,454,309,270,172,52.9%,42.1%,24.1%,11.0%,8.9%,13.5%,14.9%,19.5%,55.8%,49.4%,9%,12%,27%,4%,3%,29%,14%,18.7%,32.6%,40.2%,32.1%
434,"SOUND FERTILITY CARE, PLLC",SEATTLE,WASHINGTON,2017,15,14,19,19,7 / 15,6 / 14,2 / 19,2 / 19,2.3%,1.9%,0.0%,3.6%,1 / 1,3 / 4,5%,26%,39%,6%,2%,13%,9%,9 / 18,7 / 17,11 / 16,10 / 11
435,UNIVERSITY REPRODUCTIVE CARE,SEATTLE,WASHINGTON,2017,35,26,19,3,40.0%,15.4%,1 / 19,0 / 3,10.1%,10.4%,12.5%,2 / 13,0 / 1,,20%,13%,38%,7%,2%,53%,12%,67.6%,10 / 13,8 / 10,2 / 3
436,THE CENTER FOR REPRODUCTIVE HEALTH,SPOKANE,WASHINGTON,2017,60,30,9,2,51.7%,30.0%,2 / 9,0 / 2,2.9%,3.4%,8.7%,1 / 5,,4 / 9,14%,9%,27%,5%,2%,44%,2%,53.2%,60.5%,7 / 8,1 / 1
437,SRM SPOKANE,SPOKANE VALLEY,WASHINGTON,2017,49,24,19,12,46.9%,29.2%,5 / 19,1 / 12,7.0%,16.4%,4.3%,4 / 18,7 / 11,5 / 8,13%,10%,14%,7%,1%,25%,17%,14.1%,17.8%,4 / 15,0 / 11
438,MADIGAN ARMY MEDICAL CENTER,TACOMA,WASHINGTON,2017,63,16,25,14,54.0%,9 / 16,32.0%,2 / 14,6.9%,8.8%,4 / 15,1 / 13,,,24%,8%,14%,19%,7%,35%,5%,0.0%,0.0%,0 / 10,0 / 10
439,WEST VIRGINIA UNIVERSITY FERTILITY CENTER,CHARLESTON,WEST VIRGINIA,2017,19,1,3,1,6 / 19,0 / 1,0 / 3,1 / 1,1 / 17,0 / 3,0 / 6,1 / 3,,,20%,37%,40%,0%,7%,27%,0%,0 / 16,0 / 3,0 / 6,0 / 2
440,CABELL HUNTINGTON HOSPITAL,HUNTINGTON,WEST VIRGINIA,2017,9,5,3,2,6 / 9,2 / 5,2 / 3,0 / 2,9.1%,1 / 7,0 / 2,,,0 / 1,26%,6%,9%,29%,0%,17%,11%,0 / 19,0 / 4,1 / 2,
441,WEST VIRGINIA UNIVERSITY CENTER FOR REPRODUCTIVE MEDICINE,MORGANTOWN,WEST VIRGINIA,2017,53,21,14,3,41.5%,28.6%,2 / 14,1 / 3,3.6%,17.9%,8.0%,0 / 6,0 / 2,2 / 2,18%,18%,17%,11%,4%,53%,42%,7.4%,20.0%,3 / 12,1 / 2
442,AURORA HEALTH CARE-AURORA FERTILITY SERVICES,GREEN BAY,WISCONSIN,2017,61,21,11,1,63.9%,33.3%,5 / 11,1 / 1,4.8%,6.7%,5.0%,3 / 11,,3 / 8,10%,25%,19%,5%,5%,73%,32%,16.0%,28.6%,6 / 11,1 / 5
443,FROEDTERT & MEDICAL COLLEGE OF WISCONSIN,MENOMONEE FALLS,WISCONSIN,2017,124,68,52,4,57.3%,29.4%,26.9%,0 / 4,6.4%,5.2%,7.4%,0.0%,1 / 4,33.3%,14%,16%,20%,5%,1%,45%,6%,5.9%,13.3%,13.7%,9.5%
444,UNIVERSITY OF WISCONSIN-GENERATIONS FERTILITY CARE,MIDDLETON,WISCONSIN,2017,72,30,21,2,52.8%,56.7%,23.8%,1 / 2,8.1%,6.1%,19.2%,2 / 7,3 / 11,3 / 7,11%,17%,19%,8%,3%,39%,7%,3.0%,10.0%,5.0%,0 / 5
445,WISCONSIN FERTILITY INSTITUTE,MIDDLETON,WISCONSIN,2017,61,26,18,2,54.1%,38.5%,4 / 18,0 / 2,7.2%,17.0%,17.5%,18.5%,,31.0%,3%,3%,38%,1%,2%,34%,4%,20.4%,28.3%,7.5%,1 / 14
446,REPRODUCTIVE SPECIALTY CENTER,MILWAUKEE,WISCONSIN,2017,9,5,6,1,6 / 9,1 / 5,1 / 6,0 / 1,1 / 16,1 / 11,1 / 10,0 / 3,,,5%,8%,13%,23%,5%,45%,5%,0 / 13,0 / 10,0 / 8,0 / 3
447,"AURORA HEALTH CARE-AURORA FERTILITY SERVICES, WEST ALLIS",WEST ALLIS,WISCONSIN,2017,57,35,17,15,56.1%,37.1%,4 / 17,0 / 15,10.7%,20.8%,16.7%,1 / 13,,3 / 6,15%,7%,32%,8%,13%,66%,88%,80.3%,87.5%,95.0%,5 / 5
448,ALABAMA FERTILITY SPECIALISTS,BIRMINGHAM,ALABAMA,2018,39,11,8,6,56.4%,* / 11,* / 8,* / 6,6.3%,12.3%,21.4%,4.8%,* / 5,0 / *,15%,17%,11%,25%,7%,31%,8%,14.6%,7.0%,25.0%,* / 13
449,AMERICA INSTITUTE OF REPRODUCTIVE MEDICINE-ALABAMA,BIRMINGHAM,ALABAMA,2018,0,0,0,0,,,,,6.7%,10.7%,25.0%,* / 8,,,27%,44%,23%,20%,11%,25%,3%,3.0%,* / 18,0 / 14,0 / *
450,ART FERTILITY PROGRAM OF ALABAMA,BIRMINGHAM,ALABAMA,2018,121,60,30,11,34.7%,20.0%,13.3%,0 / 11,14.6%,13.9%,27.6%,19.0%,* / *,10 / 17,22%,8%,8%,22%,2%,59%,61%,8.6%,6.2%,8.0%,0 / 8
451,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,ALABAMA,2018,53,23,20,5,49.1%,43.5%,35.0%,* / 5,4.4%,10.0%,11.5%,* / 16,* / *,* / 10,20%,11%,21%,7%,6%,33%,7%,54.8%,40.7%,7 / 16,* / 10
452,CENTER FOR REPRODUCTIVE MEDICINE,MOBILE,ALABAMA,2018,95,32,36,7,62.1%,59.4%,16.7%,0 / 7,2.8%,4.5%,14.7%,* / 14,5 / 13,6 / 9,16%,23%,12%,15%,1%,44%,22%,13.8%,20.8%,36.7%,* / 9
453,NEW DIRECTION FERTILITY CENTERS,GILBERT,ARIZONA,2018,223,96,117,40,66.8%,43.8%,34.2%,10.0%,2.3%,0.9%,1.7%,5.7%,,66.7%,11%,14%,31%,9%,4%,27%,1%,27.0%,33.6%,36.0%,5 / 15
454,TROCHÉ FERTILITY CENTERS,GLENDALE,ARIZONA,2018,41,29,21,*,48.8%,37.9%,42.9%,0 / *,3.8%,2.8%,6.5%,0 / 9,,* / 9,18%,17%,25%,5%,3%,76%,2%,9.1%,33.3%,25.8%,* / 7
455,"ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS, LLC",PHOENIX,ARIZONA,2018,61,33,22,11,55.7%,33.3%,27.3%,0 / 11,6.5%,7.0%,13.4%,14.3%,* / 5,7 / 11,18%,15%,35%,5%,2%,50%,10%,23.0%,39.0%,51.6%,5 / 11
456,GONDRA CENTER FOR REPRODUCTIVE CARE & ADVANCED GYNECOLOGY,PHOENIX,ARIZONA,2018,11,8,11,*,* / 11,* / 8,0 / 11,0 / *,7.7%,0 / 17,* / 16,0 / 7,0 / *,0 / *,11%,25%,38%,22%,10%,47%,14%,12.0%,6 / 9,5 / 8,* / *
457,SOUTHWEST FERTILITY CENTER,PHOENIX,ARIZONA,2018,38,24,22,6,63.2%,41.7%,50.0%,* / 6,0.0%,0.0%,6.8%,0 / 14,0 / *,* / 8,23%,15%,34%,17%,5%,34%,5%,7.5%,0.0%,6.5%,* / 9
458,"ADVANCED FERTILITY CARE, PLLC",SCOTTSDALE,ARIZONA,2018,84,53,34,11,70.2%,47.2%,35.3%,0 / 11,4.4%,11.7%,11.8%,15.6%,,46.9%,16%,11%,38%,8%,17%,61%,72%,65.2%,83.0%,67.3%,9 / 14
459,ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,SCOTTSDALE,ARIZONA,2018,28,16,23,9,57.1%,9 / 16,17.4%,0 / 9,7.1%,6.0%,10.0%,* / 17,* / *,* / *,7%,7%,29%,4%,3%,29%,59%,29.8%,55.2%,11 / 17,* / 6
460,ARIZONA CENTER FOR FERTILITY STUDIES,SCOTTSDALE,ARIZONA,2018,10,5,10,0,5 / 10,* / 5,* / 10,,1.5%,0.0%,6.7%,4.2%,* / *,81.0%,9%,6%,45%,4%,4%,20%,0%,100.0%,14 / 15,16 / 16,10 / 10
461,BLOOM REPRODUCTIVE INSTITUTE,SCOTTSDALE,ARIZONA,2018,94,58,57,23,47.9%,27.6%,12.3%,8.7%,2.4%,3.3%,8.1%,6.7%,0 / *,27.6%,9%,29%,52%,11%,5%,11%,3%,81.2%,83.3%,76.7%,69.6%
462,"BOSTON IVF, THE ARIZONA CENTER, LLC",SCOTTSDALE,ARIZONA,2018,57,20,23,7,56.1%,40.0%,34.8%,0 / 7,3.6%,5.8%,6.7%,5.0%,6 / 7,* / *,16%,47%,31%,9%,6%,33%,32%,63.2%,60.9%,10 / 14,5 / 12
463,IVF PHOENIX,SCOTTSDALE,ARIZONA,2018,26,26,26,11,42.3%,23.1%,3.8%,0 / 11,7.3%,4.0%,0.0%,12.9%,,5 / 9,0%,3%,21%,3%,<1%,32%,7%,36.7%,80.0%,66.7%,* / 12
