,PrevClinName1,ClinCityCode,Year,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,TotCycles,TotFrozTrans,AvgCancel,AvgFreshBR,AvgFrozenBR,AvgNumFrshEmbry,AvgNumThwEmbry
5907,VERMONT CENTER FOR REPRODUCTIVE MEDICINE,BURLINGTON,2013.0,30.0,26,25,10,53.3,23.1,24.0,0.0,0.0,23.1,24.0,10.0,20.0,25.0,33.333333333333336,0.0,5.0,4,3,2,6.0,9.0,33.0,7.0,1.0,40.0,13.0,1.7,1.7,2.3,2.3,1.4,1.0,1.3,2.0,91.0,14.0,14.275,25.1,19.583333333333336,1.9999999999999998,1.425
5908,WASHINGTON FERTILITY CENTER,ANNANDALE,2013.0,34.0,22,22,18,5.9,9.1,4.5,0.0,0.0,0.0,4.5,0.0,42.857142857142854,0.0,0.0,0.0,7.0,3,2,0,16.0,8.0,35.0,4.0,1.0,30.0,7.0,1.8,2.2,2.6,2.7,1.9,1.7,1.5,0.0,96.0,12.0,1.125,4.875,10.714285714285714,2.325,1.275
5909,DOMINION FERTILITY AND ENDOCRINOLOGY,ARLINGTON,2013.0,234.0,156,167,144,17.5,11.5,5.4,4.2,10.7,10.9,19.8,20.1,43.0,35.0,32.4,36.8421052631579,100.0,60,37,19,13.0,8.0,48.0,5.0,4.0,36.0,41.0,1.1,1.1,1.2,1.3,1.1,1.3,1.6,1.7,701.0,216.0,15.375000000000002,9.65,36.810526315789474,1.175,1.425
5910,"REPRODUCTIVE MEDICINE AND SURGERY CENTER OF VIRGINIA, PLC",CHARLOTTESVILLE,2013.0,67.0,34,18,6,47.8,32.4,27.77777777777778,16.666666666666668,10.4,17.6,11.11111111111111,0.0,41.9,41.666666666666664,0.0,0.0,31.0,12,5,1,14.0,17.0,22.0,26.0,11.0,46.0,12.0,1.9,2.3,2.8,4.2,1.8,1.8,2.2,1.0,125.0,49.0,9.777777777777779,31.161111111111108,20.891666666666666,2.8,1.7000000000000002
5911,GENETICS & IVF INSTITUTE,FAIRFAX,2013.0,75.0,43,52,24,18.7,11.6,19.2,8.3,5.3,9.3,0.0,4.2,44.4,50.0,32.3,33.333333333333336,45.0,30,31,9,10.0,9.0,55.0,4.0,7.0,34.0,30.0,1.6,1.6,1.8,2.1,1.4,1.6,1.5,1.8,194.0,115.0,4.7,14.45,40.00833333333333,1.775,1.575
5912,THE MUASHER CENTER FOR FERTILITY AND IVF DBA,FAIRFAX,2013.0,40.0,14,16,3,20.0,14.285714285714286,6.25,0.0,2.5,7.142857142857143,6.25,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0,4.0,9.0,5.0,4.0,0.0,16.0,9.0,1.9,1.9,2.2,1.0,1.0,2.0,0.0,0.0,73.0,3.0,3.9732142857142856,10.133928571428571,0.0,1.75,0.75
5913,JONES INSTITUTE FOR REPRODUCTIVE MEDICINE,NORFOLK,2013.0,90.0,59,36,26,34.4,25.4,13.9,11.5,6.7,5.1,5.6,11.5,29.2,27.3,33.333333333333336,20.0,48.0,22,15,10,21.0,15.0,32.0,11.0,7.0,28.0,12.0,2.0,2.0,2.1,1.9,2.0,2.0,1.9,2.1,211.0,95.0,7.225,21.3,27.458333333333336,2.0,2.0
5914,VIRGINIA CENTER FOR REPRODUCTIVE MEDICINE,RESTON,2013.0,39.0,21,37,9,51.3,66.7,35.1,22.22222222222222,0.0,0.0,0.0,0.0,33.333333333333336,80.0,40.0,50.0,6.0,5,5,2,23.0,29.0,44.0,9.0,17.0,64.0,50.0,1.4,1.5,2.2,2.0,1.3,1.6,2.0,1.5,106.0,18.0,0.0,43.830555555555556,50.833333333333336,1.775,1.6
5915,FERTILITY INSTITUTE OF VIRGINIA,RICHMOND,2013.0,70.0,25,29,14,21.4,12.0,20.7,21.428571428571427,0.0,4.0,13.8,21.428571428571427,48.5,36.4,50.0,33.333333333333336,66.0,33,20,3,17.0,15.0,16.0,8.0,5.0,38.0,3.0,2.0,2.1,2.7,3.1,1.9,1.7,2.5,2.7,138.0,122.0,9.807142857142857,18.882142857142856,42.05833333333334,2.475,2.2
5916,LIFESOURCE FERTILITY CENTER,RICHMOND,2013.0,20.0,18,7,7,40.0,22.22222222222222,28.571428571428573,14.285714285714286,10.0,11.11111111111111,14.285714285714286,28.571428571428573,64.70588235294117,11.764705882352942,33.333333333333336,100.0,17.0,17,3,1,14.0,22.0,47.0,16.0,9.0,68.0,10.0,1.3,1.9,1.8,1.8,1.3,1.5,1.7,2.0,52.0,38.0,15.992063492063494,26.269841269841272,52.450980392156865,1.7,1.625
5917,THE RICHMOND CENTER FOR FERTILITY AND ENDOCRINOLOGY,RICHMOND,2013.0,28.0,15,8,7,32.1,20.0,25.0,0.0,0.0,6.666666666666667,12.5,28.571428571428573,54.2,42.857142857142854,50.0,66.66666666666667,24.0,14,6,3,16.0,17.0,23.0,9.0,2.0,59.0,16.0,1.8,2.1,2.3,2.5,1.6,1.6,1.8,1.7,58.0,47.0,11.93452380952381,19.275,53.43095238095238,2.175,1.675
5918,UNIVERSITY CENTER FOR ADVANCED REPRODUCTIVE MEDICINE,RICHMOND,2013.0,12.0,7,10,4,33.333333333333336,0.0,20.0,0.0,16.666666666666668,14.285714285714286,20.0,0.0,14.285714285714286,55.55555555555556,40.0,0.0,7.0,9,5,0,20.0,14.0,8.0,5.0,0.0,28.0,31.0,1.9,1.8,2.6,2.8,1.7,1.2,1.6,0.0,33.0,21.0,12.738095238095239,13.333333333333334,27.460317460317462,2.2750000000000004,1.125
5919,THE NEW HOPE CENTER FOR REPRODUCTIVE MEDICINE,VIRGINIA BEACH,2013.0,68.0,28,33,14,23.5,14.3,15.2,0.0,2.9,3.6,12.1,0.0,34.6,47.05882352941177,26.666666666666668,40.0,26.0,17,15,5,12.0,19.0,47.0,12.0,13.0,31.0,9.0,2.0,2.0,2.4,2.6,1.9,2.2,1.9,2.0,143.0,63.0,4.65,13.25,37.081372549019605,2.25,2.0
5920,"FRANCISCO M. IRIANNI, MD",WINCHESTER,2013.0,13.0,0,4,0,46.15384615384615,0.0,25.0,0.0,7.6923076923076925,0.0,25.0,0.0,20.0,0.0,0.0,0.0,5.0,1,0,0,4.0,7.0,36.0,18.0,7.0,39.0,0.0,2.1,0.0,2.3,0.0,1.6,1.0,0.0,0.0,17.0,6.0,8.173076923076923,17.78846153846154,5.0,1.1,0.65
5921,"OVERLAKE REPRODUCTIVE HEALTH, INC., PS",BELLEVUE,2013.0,46.0,27,16,14,32.6,11.1,18.75,21.428571428571427,15.2,22.2,18.75,21.428571428571427,55.55555555555556,25.0,20.0,0.0,9.0,8,5,0,55.0,50.0,84.0,10.0,4.0,47.0,1.0,1.9,1.9,2.8,2.4,2.0,1.8,1.8,0.0,103.0,22.0,19.394642857142856,20.96964285714286,25.13888888888889,2.25,1.4
5922,WASHINGTON CENTER FOR REPRODUCTIVE MEDICINE,BELLEVUE,2013.0,56.0,26,24,4,32.1,23.1,4.2,25.0,0.0,0.0,8.3,0.0,42.857142857142854,0.0,42.857142857142854,0.0,7.0,4,7,1,4.0,1.0,25.0,0.0,0.0,15.0,63.0,1.9,1.9,1.9,2.0,2.1,1.8,2.3,3.0,110.0,19.0,2.075,21.1,21.428571428571427,1.9249999999999998,2.3
5923,BELLINGHAM IVF & FERTILITY CARE,BELLINGHAM,2013.0,21.0,11,6,2,57.1,54.54545454545455,0.0,0.0,0.0,0.0,0.0,0.0,38.888888888888886,10.0,0.0,0.0,18.0,10,5,1,3.0,33.0,39.0,7.0,3.0,67.0,6.0,2.0,2.0,1.8,2.0,2.1,2.1,1.6,2.0,40.0,34.0,0.0,27.91136363636364,12.222222222222221,1.95,1.9500000000000002
5924,POMA FERTILITY,KIRKLAND,2013.0,38.0,10,7,9,57.9,50.0,57.142857142857146,11.11111111111111,5.3,20.0,0.0,11.11111111111111,50.0,33.333333333333336,0.0,0.0,2.0,3,0,2,9.0,13.0,36.0,5.0,9.0,38.0,7.0,1.6,1.8,2.4,3.0,1.0,1.3,0.0,1.5,64.0,7.0,9.102777777777778,44.038492063492065,20.833333333333336,2.2,0.95
5925,OLYMPIA WOMEN'S HEALTH,OLYMPIA,2013.0,13.0,6,4,2,30.76923076923077,33.333333333333336,0.0,50.0,0.0,0.0,0.0,0.0,33.333333333333336,100.0,0.0,0.0,3.0,1,1,0,13.0,19.0,13.0,22.0,0.0,9.0,0.0,1.9,2.2,2.3,2.0,1.7,2.0,2.0,0.0,25.0,5.0,0.0,28.525641025641026,33.333333333333336,2.0999999999999996,1.425
5926,PACIFIC NORTHWEST FERTILITY AND IVF SPECIALISTS,SEATTLE,2013.0,70.0,50,45,23,38.6,34.0,28.9,8.7,0.0,4.0,6.7,8.7,53.7,42.6,34.3,31.0,121.0,47,67,29,6.0,4.0,44.0,6.0,1.0,22.0,10.0,1.8,1.9,2.4,2.7,1.5,1.4,1.4,1.4,188.0,264.0,4.85,27.55,40.400000000000006,2.2,1.4249999999999998
5927,SEATTLE REPRODUCTIVE MEDICINE,SEATTLE,2013.0,347.0,171,174,98,37.8,36.8,21.3,10.2,5.2,12.9,19.0,19.4,38.3,34.4,20.0,16.7,183.0,96,80,24,14.0,11.0,30.0,10.0,4.0,35.0,11.0,1.5,1.6,1.8,2.3,1.4,1.4,1.4,1.3,790.0,383.0,14.125,26.525,27.349999999999998,1.8,1.3749999999999998
5928,UNIVERSITY REPRODUCTIVE CARE,SEATTLE,2013.0,20.0,9,7,9,25.0,0.0,0.0,0.0,20.0,11.11111111111111,42.857142857142854,11.11111111111111,44.44444444444444,28.571428571428573,50.0,0.0,9.0,7,2,2,10.0,17.0,39.0,6.0,9.0,37.0,27.0,1.6,2.2,2.0,2.7,1.2,1.4,1.0,1.5,45.0,20.0,21.26984126984127,6.25,30.753968253968253,2.125,1.275
5929,THE CENTER FOR REPRODUCTIVE HEALTH,SPOKANE,2013.0,83.0,15,3,0,53.0,46.666666666666664,100.0,0.0,0.0,0.0,0.0,0.0,44.4,53.6,43.75,50.0,54.0,28,16,2,11.0,11.0,24.0,5.0,0.0,71.0,10.0,1.8,1.7,1.7,0.0,2.0,1.5,1.6,1.0,101.0,100.0,0.0,49.916666666666664,47.9375,1.3,1.525
5930,"GYFT CLINIC, PLLC",TACOMA,2013.0,28.0,9,6,8,35.7,22.22222222222222,16.666666666666668,0.0,7.1,22.22222222222222,0.0,0.0,44.44444444444444,0.0,100.0,0.0,9.0,0,1,0,13.0,13.0,22.0,5.0,5.0,39.0,6.0,2.2,3.3,3.3,3.4,2.2,0.0,3.0,0.0,51.0,10.0,7.330555555555556,18.647222222222222,36.111111111111114,3.0500000000000003,1.3
5931,MADIGAN ARMY MEDICAL CENTER,TACOMA,2013.0,59.0,20,22,17,37.3,25.0,13.6,5.882352941176471,13.6,15.0,9.1,11.764705882352942,33.3,33.333333333333336,50.0,33.333333333333336,21.0,6,2,3,31.0,13.0,32.0,7.0,3.0,27.0,11.0,1.7,1.8,2.0,2.3,1.9,2.2,2.0,2.3,118.0,32.0,12.366176470588236,20.445588235294117,37.49166666666667,1.95,2.0999999999999996
5932,WEST VIRGINIA UNIVERSITY FERTILITY CENTER,CHARLESTON,2013.0,13.0,6,5,1,30.76923076923077,33.333333333333336,40.0,0.0,15.384615384615385,0.0,0.0,0.0,25.0,50.0,0.0,0.0,4.0,2,0,0,24.0,8.0,27.0,3.0,3.0,19.0,0.0,2.3,2.2,2.0,3.0,2.5,3.0,0.0,0.0,25.0,6.0,3.8461538461538463,26.025641025641026,18.75,2.375,1.375
5933,CABELL HUNTINGTON HOSPITAL,HUNTINGTON,2013.0,10.0,5,6,0,30.0,60.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,1,0,1,4.0,24.0,4.0,24.0,0.0,16.0,44.0,2.4,2.8,2.4,0.0,1.5,1.0,0.0,1.0,21.0,4.0,0.0,30.833333333333336,25.0,1.9,0.875
5934,WEST VIRGINIA UNIVERSITY CENTER FOR REPRODUCTIVE MEDICINE,MORGANTOWN,2013.0,33.0,6,5,3,24.2,16.666666666666668,0.0,0.0,18.2,16.666666666666668,20.0,0.0,0.0,0.0,0.0,0.0,7.0,4,0,0,32.0,17.0,17.0,18.0,10.0,62.0,28.0,2.2,2.0,2.3,1.0,1.9,1.0,0.0,0.0,47.0,11.0,13.716666666666667,10.216666666666667,0.0,1.875,0.725
5935,AURORA HEALTH CARE - AURORA FERTILITY SERVICES,GREEN BAY,2013.0,42.0,17,5,3,33.3,23.529411764705884,0.0,0.0,4.8,11.764705882352942,0.0,0.0,40.7,50.0,25.0,0.0,27.0,16,4,1,19.0,28.0,13.0,8.0,4.0,83.0,22.0,1.9,1.9,2.0,1.0,1.9,1.8,1.5,1.0,67.0,48.0,4.141176470588236,14.20735294117647,28.925,1.7,1.55
5936,UNIVERSITY OF WISCONSIN-GENERATIONS FERTILITY CARE,MIDDLETON,2013.0,76.0,28,16,0,48.7,42.9,31.25,0.0,6.6,7.1,18.75,0.0,45.2,36.36363636363637,40.0,0.0,31.0,11,5,2,17.0,22.0,23.0,12.0,6.0,51.0,2.0,1.4,1.5,1.6,0.0,1.6,1.8,1.6,1.5,120.0,49.0,8.1125,30.7125,30.39090909090909,1.125,1.625
5937,WISCONSIN FERTILITY INSTITUTE,MIDDLETON,2013.0,27.0,9,6,3,33.3,11.11111111111111,16.666666666666668,0.0,3.7,11.11111111111111,0.0,66.66666666666667,23.3,33.333333333333336,0.0,0.0,73.0,18,8,5,7.0,14.0,44.0,5.0,3.0,18.0,6.0,2.1,2.3,2.8,3.0,2.1,2.1,1.8,2.2,45.0,104.0,20.369444444444447,15.269444444444446,14.158333333333335,2.55,2.05
5938,FROEDTERT & MEDICAL COLLEGE OF WISCONSIN,MILWAUKEE,2013.0,85.0,42,26,5,36.5,21.4,15.4,20.0,2.4,7.1,11.5,20.0,39.0,30.2,36.36363636363637,0.0,77.0,43,11,1,7.0,18.0,38.0,8.0,2.0,46.0,1.0,1.4,1.7,2.1,2.0,1.5,1.4,1.6,2.0,158.0,132.0,10.25,23.325,26.39090909090909,1.7999999999999998,1.625
5939,REPRODUCTIVE SPECIALTY CENTER,MILWAUKEE,2013.0,9.0,7,7,1,55.55555555555556,28.571428571428573,28.571428571428573,100.0,0.0,0.0,0.0,0.0,66.66666666666667,0.0,66.66666666666667,0.0,3.0,1,3,1,18.0,3.0,21.0,27.0,9.0,77.0,0.0,1.8,2.3,1.7,3.0,2.0,2.0,1.3,2.0,24.0,8.0,0.0,53.17460317460318,33.333333333333336,2.2,1.825
5940,GUNDERSEN FERTILITY CENTER,ONALASKA,2013.0,8.0,2,4,1,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,0.0,0.0,6.0,5,1,0,24.0,32.0,35.0,35.0,3.0,35.0,9.0,1.4,1.0,2.0,3.0,1.7,2.2,2.0,0.0,15.0,12.0,0.0,31.25,22.5,1.85,1.475
5941,"AURORA HEALTH CARE-AURORA FERTILITY SERVICES, WEST ALLIS",WEST ALLIS,2013.0,52.0,26,13,5,53.8,23.1,46.15384615384615,0.0,0.0,7.7,0.0,0.0,53.8,87.5,16.666666666666668,0.0,26.0,8,6,3,13.0,15.0,43.0,3.0,7.0,69.0,24.0,1.9,1.9,2.4,2.3,1.8,1.8,1.7,2.0,96.0,43.0,1.925,30.76346153846154,39.49166666666667,2.125,1.825
5942,ALABAMA FERTILITY SPECIALISTS,BIRMINGHAM,2014.0,28.0,16,4,4,35.7,25.0,25.0,0.0,10.7,25.0,25.0,50.0,11.11111111111111,33.333333333333336,100.0,0.0,18.0,3,1,0,38.0,26.0,18.0,31.0,3.0,46.0,13.0,2.1,2.7,3.0,5.0,2.0,2.0,4.0,0.0,52.0,22.0,27.675,21.425,36.111111111111114,3.2,2.0
5943,ART FERTILITY PROGRAM OF ALABAMA,BIRMINGHAM,2014.0,158.0,46,30,13,23.4,26.1,33.3,0.0,9.5,6.5,10.0,30.76923076923077,41.5,40.0,50.0,100.0,82.0,20,6,1,29.0,9.0,15.0,34.0,6.0,60.0,65.0,1.9,1.9,2.6,2.7,1.7,1.6,1.8,4.0,247.0,109.0,14.192307692307693,20.7,57.875,2.2750000000000004,2.275
5944,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,2014.0,67.0,10,14,6,35.8,40.0,14.285714285714286,0.0,4.5,10.0,28.571428571428573,16.666666666666668,38.9,60.0,33.333333333333336,0.0,36.0,5,3,2,15.0,11.0,32.0,18.0,2.0,37.0,7.0,1.8,2.1,2.0,1.3,1.7,1.6,2.0,2.0,97.0,46.0,14.93452380952381,22.521428571428572,33.05833333333334,1.8,1.825
5945,"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",MADISON,2014.0,61.0,19,8,5,49.2,52.63157894736842,25.0,0.0,1.6,0.0,0.0,0.0,25.0,28.571428571428573,25.0,50.0,20.0,7,4,2,26.0,28.0,29.0,9.0,8.0,39.0,11.0,1.9,2.3,2.8,3.3,1.4,2.1,1.0,1.5,93.0,33.0,0.4,31.707894736842107,32.14285714285714,2.5749999999999997,1.5
5946,CENTER FOR REPRODUCTIVE MEDICINE,MOBILE,2014.0,84.0,27,28,9,53.6,51.9,10.7,22.22222222222222,14.3,11.1,14.3,22.22222222222222,57.7,30.76923076923077,36.36363636363637,100.0,26.0,13,11,1,23.0,14.0,16.0,19.0,1.0,42.0,16.0,1.6,1.7,2.6,4.0,1.7,1.7,1.7,4.0,148.0,51.0,15.480555555555556,34.605555555555554,56.208216783216784,2.475,2.275
5947,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,MOBILE,2014.0,14.0,7,6,0,28.571428571428573,0.0,0.0,0.0,0.0,14.285714285714286,33.333333333333336,0.0,100.0,0.0,0.0,0.0,2.0,1,0,0,49.0,31.0,49.0,31.0,51.0,29.0,3.0,2.5,2.0,2.0,0.0,3.0,1.0,0.0,0.0,27.0,3.0,11.904761904761905,7.142857142857143,25.0,1.625,1.0
5948,PENINSULA MEDICAL CENTER,SOLDOTNA,2014.0,23.0,10,5,2,21.7,30.0,20.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,50.0,50.0,100.0,3.0,2,2,1,25.0,8.0,11.0,5.0,0.0,38.0,6.0,2.2,2.3,2.5,2.0,2.0,2.5,2.0,1.0,40.0,8.0,0.0,17.925,58.333333333333336,2.25,1.875
5949,TROCHÉ FERTILITY CENTERS,GLENDALE,2014.0,74.0,24,27,9,40.5,20.8,29.6,0.0,5.4,4.2,3.7,33.333333333333336,42.9,25.0,42.857142857142854,0.0,28.0,16,7,1,12.0,21.0,38.0,6.0,1.0,75.0,4.0,1.8,2.3,3.0,2.8,1.6,1.4,1.6,3.0,134.0,52.0,11.658333333333335,22.725,27.689285714285717,2.4749999999999996,1.9
5950,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,PHOENIX,2014.0,57.0,18,18,8,14.0,22.22222222222222,11.11111111111111,0.0,3.5,0.0,16.666666666666668,37.5,45.5,38.7,40.0,25.0,66.0,31,20,4,17.0,14.0,50.0,8.0,3.0,52.0,5.0,1.6,1.9,1.7,2.0,1.5,1.5,1.5,2.0,101.0,121.0,14.416666666666668,11.833333333333332,37.3,1.8,1.625
5951,SOUTHWEST FERTILITY CENTER,PHOENIX,2014.0,30.0,17,18,1,36.7,23.529411764705884,5.555555555555555,0.0,0.0,0.0,11.11111111111111,0.0,45.45454545454545,20.0,50.0,0.0,11.0,5,4,0,19.0,16.0,34.0,16.0,11.0,44.0,6.0,1.8,2.0,2.0,3.0,2.0,1.8,1.8,0.0,66.0,20.0,2.7777777777777777,16.44624183006536,28.863636363636363,2.2,1.4
5952,"ADVANCED FERTILITY CARE, PLLC",SCOTTSDALE,2014.0,77.0,29,17,8,49.4,37.9,41.1764705882353,37.5,3.9,0.0,5.882352941176471,25.0,40.4,73.6842105263158,52.94117647058823,0.0,52.0,19,17,1,16.0,18.0,32.0,7.0,15.0,58.0,5.0,1.6,1.9,2.1,3.0,1.5,1.5,1.5,2.0,131.0,89.0,8.695588235294117,41.49411764705882,41.756346749226005,2.15,1.625
5953,ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,SCOTTSDALE,2014.0,71.0,35,30,13,29.6,17.1,20.0,0.0,2.8,28.6,13.3,46.15384615384615,65.2,56.0,63.1578947368421,33.333333333333336,46.0,25,19,6,6.0,9.0,35.0,5.0,1.0,34.0,10.0,1.5,1.7,2.1,1.3,1.5,1.5,1.4,1.5,149.0,96.0,22.713461538461537,16.675,54.42280701754386,1.6500000000000001,1.475
5954,ARIZONA CENTER FOR FERTILITY STUDIES,SCOTTSDALE,2014.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6,64.28571428571429,53.333333333333336,100.0,35.0,14,15,7,7.0,13.0,34.0,17.0,1.0,35.0,11.0,2.5,0.0,0.0,0.0,1.9,1.9,2.1,1.9,2.0,71.0,0.0,0.0,71.5547619047619,0.625,1.9500000000000002
5955,"BOSTON IVF, THE ARIZONA CENTER",SCOTTSDALE,2014.0,8.0,4,3,0,37.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,16.666666666666668,80.0,0.0,0.0,6.0,5,2,0,5.0,7.0,42.0,2.0,5.0,17.0,10.0,1.8,2.5,3.0,0.0,2.0,1.8,2.0,0.0,15.0,13.0,6.25,9.375,24.166666666666668,1.825,1.45
5956,IVF PHOENIX,SCOTTSDALE,2014.0,14.0,12,7,11,28.571428571428573,25.0,28.571428571428573,9.090909090909092,7.142857142857143,8.333333333333334,28.571428571428573,18.181818181818183,15.384615384615385,16.666666666666668,50.0,0.0,13.0,6,2,3,12.0,2.0,61.0,3.0,0.0,48.0,9.0,1.7,2.2,2.2,1.6,1.6,2.0,2.0,1.3,44.0,24.0,15.55735930735931,22.808441558441558,20.51282051282051,1.9250000000000003,1.7249999999999999
5957,FERTILITY TREATMENT CENTER,TEMPE,2014.0,17.0,11,9,9,35.294117647058826,27.272727272727273,33.333333333333336,22.22222222222222,0.0,0.0,0.0,33.333333333333336,63.2,58.3,37.3,23.3,133.0,72,51,30,5.0,64.0,22.0,8.0,1.0,1.0,2.0,2.0,2.2,2.1,2.0,2.0,2.2,2.2,2.1,46.0,286.0,8.333333333333334,29.530600118835416,45.525000000000006,2.075,2.125
5958,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,TUCSON,2014.0,82.0,43,31,10,42.7,32.6,22.6,0.0,0.0,0.0,0.0,0.0,22.9,19.0,7.6923076923076925,0.0,48.0,21,13,2,12.0,7.0,21.0,32.0,9.0,23.0,1.0,2.1,2.4,2.7,2.6,2.5,2.8,2.5,2.0,166.0,84.0,0.0,24.475,12.398076923076923,2.45,2.45
5959,VIVERE ARIZONA REPRODUCTIVE INSTITUTE,TUCSON,2014.0,0.0,3,1,0,0.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,20.0,80.0,0.0,20.0,20.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.333333333333334,8.333333333333334,0.0,1.0,0.0
5960,ARKANSAS FERTILITY CENTER,LITTLE ROCK,2014.0,105.0,38,19,4,29.5,36.8,21.05263157894737,0.0,14.3,10.5,15.789473684210526,0.0,24.0,36.36363636363637,20.0,25.0,50.0,11,10,4,20.0,15.0,34.0,12.0,2.0,34.0,2.0,1.8,2.0,2.1,3.0,1.6,1.5,1.4,1.5,166.0,75.0,10.147368421052631,21.83815789473684,26.340909090909093,2.225,1.5
5961,LIFESTART FERTILITY CENTER,AGOURA HILLS,2014.0,5.0,3,0,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,3.0,0,1,0,18.0,6.0,29.0,6.0,6.0,35.0,47.0,1.6,2.7,0.0,0.0,1.3,0.0,3.0,0.0,9.0,4.0,25.0,10.0,25.0,1.0750000000000002,1.075
5962,ALTA BATES IN VITRO FERTILIZATION PROGRAM,BERKELEY,2014.0,7.0,8,10,10,28.571428571428573,50.0,20.0,10.0,14.285714285714286,25.0,10.0,10.0,100.0,18.181818181818183,50.0,0.0,5.0,11,6,3,9.0,14.0,52.0,9.0,18.0,39.0,8.0,1.7,2.0,2.4,4.0,2.0,1.5,1.3,1.0,35.0,25.0,14.821428571428571,27.142857142857142,42.04545454545455,2.525,1.45
5963,CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,BEVERLY HILLS,2014.0,13.0,9,13,12,61.53846153846154,44.44444444444444,53.84615384615385,33.333333333333336,0.0,0.0,15.384615384615385,25.0,66.66666666666667,50.0,71.42857142857143,50.0,6.0,2,7,2,14.0,1.0,42.0,7.0,1.0,67.0,33.0,2.2,2.0,1.9,2.0,2.5,1.5,3.0,2.5,47.0,17.0,10.096153846153847,48.29059829059829,59.523809523809526,2.025,2.375
5964,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,BEVERLY HILLS,2014.0,23.0,23,27,14,39.1,21.7,25.9,7.142857142857143,0.0,0.0,3.7,21.428571428571427,65.5,75.0,56.3,60.0,55.0,40,32,15,5.0,4.0,30.0,3.0,4.0,20.0,24.0,1.5,1.4,2.2,1.7,1.4,1.4,1.4,1.3,87.0,142.0,6.282142857142857,23.460714285714282,64.2,1.7,1.3749999999999998
5965,FERTILITY CARE OF ORANGE COUNTY,BREA,2014.0,5.0,2,3,2,20.0,0.0,0.0,0.0,20.0,50.0,0.0,0.0,62.5,60.0,31.57894736842105,50.0,32.0,10,19,2,13.0,3.0,41.0,0.0,1.0,23.0,11.0,1.8,2.0,2.0,2.5,1.3,1.5,1.7,2.0,12.0,63.0,17.5,5.0,51.01973684210526,2.075,1.625
5966,CENTRAL CALIFORNIA IVF PROGRAM,CLOVIS,2014.0,81.0,32,21,4,29.6,21.9,28.6,0.0,11.1,18.8,4.8,50.0,20.5,6.666666666666667,20.0,25.0,44.0,15,15,4,15.0,16.0,40.0,10.0,0.0,32.0,2.0,1.9,1.9,2.3,2.0,1.7,1.8,1.6,2.5,138.0,78.0,21.174999999999997,20.025,18.041666666666668,2.025,1.9
5967,CALIFORNIA IVF FERTILITY CENTER,DAVIS,2014.0,74.0,29,28,13,29.7,34.5,14.3,0.0,1.4,0.0,10.7,7.6923076923076925,53.8,42.4,38.5,0.0,65.0,33,26,7,7.0,12.0,23.0,7.0,4.0,40.0,51.0,1.9,2.0,2.4,2.8,1.7,1.8,1.7,1.7,144.0,131.0,4.948076923076923,19.625,33.675,2.275,1.725
